"Según el artículo 18 de la Constitución española, el domicilio es inviolable. No se podrá entrar ni hacer ningún registro sin el consentimiento del titular o:","O sin resolución judicial, salvo en caso de flagrante delito.","O sin resolución policial, salvo en el caso de flagrante delito.","Sin una orden de registro, salvo en el caso de posesión de armas.",Las respuestas a) y c) son correctas.,1,"El artículo 18 de la Constitución española establece que el domicilio es inviolable y no se puede entrar sin consentimiento o resolución judicial, salvo en caso de flagrante delito.",Constitución Española
"Según el artículo 18 de la Constitución española, se garantiza el secreto de las comunicaciones y, especialmente, de las postales, telegráficas y telefónicas, excepto en caso de:",En caso de declaración del estado de excepción.,En caso de resolución militar en tiempo de guerra.,En caso de resolución judicial.,En caso de interés general del Estado.,3,El artículo 18 de la Constitución española establece que el secreto de las comunicaciones solo puede levantarse por resolución judicial.,Constitución Española
"Según el artículo 18 de la Constitución española, la ley limitará el uso de la informática por tal de garantizar:",El honor de los ciudadanos españoles.,El honor y la intimidad personal de los ciudadanos y el respeto de sus libertades.,La intimidad personal de los ciudadanos y sus derechos fundamentales.,El honor y la intimidad personal y familiar de los ciudadanos y el pleno ejercicio de sus derechos.,4,"El artículo 18 de la Constitución española establece que la ley limitará el uso de la informática para garantizar el honor, la intimidad personal y familiar, y el pleno ejercicio de los derechos.",Constitución Española
"Según el artículo 19 de la Constitución española, los españoles tienen derecho a entrar y salir libremente de España en la forma que la ley establezca. Este derecho no podrá ser limitado por motivos:",Económicos o políticos.,"Militares, políticos o sociales.",Políticos o ideológicos.,Políticos o militares.,3,El artículo 19 de la Constitución española establece que el derecho a entrar y salir de España no puede ser limitado por motivos políticos o ideológicos.,Constitución Española
¿Cuál de los siguientes derechos NO se reconoce y protege en el artículo 20 de la Constitución española?,"A expresar y difundir libremente los pensamientos, las ideas y las opiniones mediante la palabra, la escritura o cualquier otro medio de reproducción.","A la producción y a la creación literaria, artística, científica y técnica.",A la libertad de cátedra.,A la libertad de enseñanza de la lengua oficial propia de las comunidades autónomas.,4,El artículo 20 de la Constitución española no menciona la libertad de enseñanza de la lengua oficial propia de las comunidades autónomas.,Constitución Española
"Según el artículo 20 de la Constitución española, la ley regulará la organización y el control parlamentario de los medios de comunicación social que dependan del Estado o de cualquier entidad pública y garantizará el acceso a estos medios de los grupos sociales y políticos significativos, respetando:",El pluralismo político y de las diferentes lenguas de España.,El pluralismo de la sociedad y de las diferentes lenguas de España.,"El pluralismo ideológico, racial y de las diferentes confesiones religiosas de España.","El pluralismo social, de las diferentes ideologías políticas y creencias religiosas de España.",1,El artículo 20 de la Constitución española establece que se respetará el pluralismo político y de las diferentes lenguas de España.,Constitución Española
"De acuerdo al artículo 20 de la Constitución española, sólo podrá acordarse el secuestro de publicaciones, grabaciones y otros medios de información:",En virtud de resolución judicial.,En virtud de resolución policial.,En virtud de sentencia por flagrante delito.,En virtud del interés general.,1,El artículo 20 de la Constitución española establece que el secuestro de publicaciones solo puede acordarse por resolución judicial.,Constitución Española
"Según el artículo 21 de la Constitución española, ¿se reconoce el derecho de reunión pacífica y sin armas?","Sí, pero para su ejercicio hará falta autorización previa.","No, la posesión de armas no se nombra en el artículo.","Sí, y para su ejercicio no hará falta autorización previa.","No, el derecho de reunión pacífica no se nombra en este artículo.",3,"El artículo 21 de la Constitución española reconoce el derecho de reunión pacífica y sin armas, sin necesidad de autorización previa.",Constitución Española
"De acuerdo con el artículo 21 de la Constitución española, en los casos de reuniones en lugares de tránsito público y de manifestaciones, hará falta comunicarlo previamente a la autoridad, la cual sólo podrá prohibirlas cuando:",En ningún caso se puede prohibir una manifestación porque es un derecho fundamental.,"Se considere un peligro para el orden público, por impacto social o político.",No respeten los valores o principios fundamentales superiores constitucionales.,"Haya motivos fundamentados de alteración del orden público, con peligro para personas o bienes.",4,"El artículo 21 de la Constitución española establece que las manifestaciones solo pueden prohibirse por motivos fundamentados de alteración del orden público, con peligro para personas o bienes.",Constitución Española
"De acuerdo con el artículo 22 de la Constitución española, se reconoce el derecho de asociación. Las actividades de las asociaciones sólo podrán ser disueltas o suspendidas:",En virtud de una resolución policial.,En virtud de una resolución judicial motivada.,En virtud de una sentencia del Tribunal Supremo.,En virtud de una sentencia del Tribunal Superior de Justicia.,2,El artículo 22 de la Constitución española establece que las asociaciones solo pueden ser disueltas o suspendidas por resolución judicial motivada.,Constitución Española
"Según el artículo 22 de la Constitución española, se prohíben las asociaciones:",Secretas y las de carácter paramilitar.,De carácter político pero antidemocráticas.,Secretas y las de carácter fascista.,"Secretas, antidemocráticas y las de carácter sectario.",1,El artículo 22 de la Constitución española prohíbe las asociaciones secretas y de carácter paramilitar.,Constitución Española
"Según el artículo 23 de la Constitución española, los ciudadanos tienen el derecho a participar en los asuntos públicos:",Mediante votación asamblearia local o electoral a nivel nacional.,Directamente.,Por medio de representantes libremente elegidos en elecciones periódicas por sufragio universal.,Las respuestas b) y c) son correctas.,4,El artículo 23 de la Constitución española establece que los ciudadanos pueden participar en los asuntos públicos directamente o a través de representantes elegidos.,Constitución Española
"De acuerdo con el artículo 23 de la Constitución española, los ciudadanos tienen el derecho de acceder a las funciones y a los cargos públicos:",Según se indique en una ley orgánica.,En condiciones de igualdad y con los requisitos que las leyes señalen.,De acuerdo con la normativa sobre incompatibilidad.,Siempre y cuando cumplan con los requisitos que indica la ley.,2,El artículo 23 de la Constitución española establece que los ciudadanos tienen derecho a acceder a cargos públicos en condiciones de igualdad y con los requisitos que las leyes señalen.,Constitución Española
"Según el artículo 24 de la Constitución española, todo el mundo tiene derecho a obtener la tutela efectiva de los jueces y de los tribunales en el ejercicio de sus derechos e intereses legítimos:",Sin que el individuo haya de pagar por ningún servicio jurídico.,Sin que el individuo haya de defenderse sin ninguna ayuda.,Sin que pueda haber indefensión.,Sin que esto influya en el tratamiento de los jueces hacia el individuo o en la decisión final de los tribunales en un juicio.,3,El artículo 24 de la Constitución española garantiza el derecho a la tutela efectiva sin que pueda haber indefensión.,Constitución Española
"De acuerdo con el artículo 25 de la Constitución española, las penas privativas de libertad y las medidas de seguridad están orientadas:",A la reeducación.,Al castigo.,A la reinserción social.,Las respuestas a) y c) son correctas.,4,El artículo 25 de la Constitución española establece que las penas y medidas de seguridad están orientadas a la reeducación y reinserción social.,Constitución Española
"Según el artículo 26 de la Constitución española, se prohíben los tribunales de honor en el ámbito de:",En el ámbito de la Administración civil.,En el ámbito de la Administración pública y las organizaciones privadas.,En el ámbito de las organizaciones profesionales.,Las respuestas a) y c) son correctas.,4,El artículo 26 de la Constitución española prohíbe los tribunales de honor en el ámbito de la Administración civil y las organizaciones profesionales.,Constitución Española
"De acuerdo con el artículo 30 de la Constitución española, para los españoles la defensa de España:",Solo es un deber.,No es obligatoria.,Es un derecho y un deber.,Solo es un derecho.,3,El artículo 30 de la Constitución española establece que la defensa de España es un derecho y un deber.,Constitución Española
"Según el artículo 28 de la Constitución española, la huelga forma parte:",Del derecho a la libertad de expresión y manifestación.,Del derecho del trabajo.,De los derechos fundamentales y de las libertades públicas.,Del derecho a la libertad sindical.,4,El artículo 28 de la Constitución española establece que la huelga forma parte del derecho a la libertad sindical.,Constitución Española
"Según el artículo 27 de la Constitución española, la educación tendrá como objeto el pleno desarrollo de la personalidad humana en el respeto:",A los principios democráticos de convivencia y a los derechos y a las libertades fundamentales.,A los principios democráticos y a los derechos humanos.,A los derechos fundamentales de la Constitución y a los derechos humanos y de la infancia reconocidos en los tratados internacionales.,A los principios constitucionales de convivencia y a los derechos fundamentales.,1,El artículo 27 de la Constitución española establece que la educación tendrá como objeto el pleno desarrollo de la personalidad humana en el respeto a los principios democráticos de convivencia y a los derechos y libertades fundamentales.,Constitución Española
"Según el artículo 28 de la Constitución española, la obligatoriedad de afiliación a un Sindicato de los trabajadores es posible:",Cuando lo acuerda la mayoría de los trabajadores.,En ningún caso.,Cuando así venga dispuesto por razón del trabajo que se realice.,Cuando así se imponga en el convenio laboral.,2,El artículo 28 de la Constitución española establece que la afiliación a un sindicato no puede ser obligatoria.,Constitución Española
"De acuerdo con el artículo 27 de la Constitución española, los poderes garantizan el derecho que asiste a los padres por tal de que los hijos reciban:",Una formación basada en el respeto a los principios democráticos y a la libertad religiosa.,La formación religiosa y moral que concuerde con la confesión estatal.,Una educación en concordancia con la orientación ideológica y religiosa de los padres.,La formación religiosa y moral que vaya de acuerdo con sus convicciones.,4,El artículo 27 de la Constitución española garantiza el derecho de los padres a que sus hijos reciban la formación religiosa y moral que concuerde con sus convicciones.,Constitución Española
"Según el artículo 28 de la Constitución española, dentro de la libertad sindical los sindicatos tienen derecho:",A formar confederaciones.,A fundar organizaciones sindicales internacionales.,A afiliarse en organizaciones sindicales internacionales.,Las respuestas a) b) y c) son correctas.,4,"El artículo 28 de la Constitución española reconoce el derecho de los sindicatos a formar confederaciones, fundar organizaciones sindicales internacionales y afiliarse a ellas, por lo que todas las opciones son correctas.",Constitución Española
"Según el artículo 27 de la Constitución española, los poderes públicos inspeccionarán y homologarán el sistema educativo por tal de garantizar:",El cumplimiento y respeto de los derechos de los estudiantes.,La obtención de buenos resultados en el nivel cultural general de los estudiantes.,El cumplimiento de las leyes.,El cumplimiento de la normativa del ministerio competente en materia de Educación.,3,El artículo 27 de la Constitución española establece que los poderes públicos inspeccionarán y homologarán el sistema educativo para garantizar el cumplimiento de las leyes.,Constitución Española
"De acuerdo con el artículo 27 de la Constitución española, en materia de Educación, la enseñanza básica es:",Gratuita.,Obligatoria.,Voluntaria y gratuita.,Obligatoria y gratuita.,4,El artículo 27 de la Constitución española establece que la enseñanza básica es obligatoria y gratuita.,Constitución Española
"Según el artículo 27 de la Constitución española, se reconoce la autonomía de las universidades:",En la forma que la ley establezca.,En la forma que los estatutos de autonomía establezcan.,En la forma que los tratados internacionales de educación europea establezcan.,En la forma que la Constitución establezca.,1,El artículo 27 de la Constitución española reconoce la autonomía de las universidades en los términos que la ley establezca.,Constitución Española
"Según el artículo 28 de la Constitución española, todo el mundo tiene derecho a sindicarse. Pero la ley podrá limitar o exceptuar el ejercicio de este derecho a:",A la policía.,A las fuerzas armadas.,A las fuerzas o los institutos armados o a los otros cuerpos sometidos a disciplina militar.,Las respuestas a) y b) son correctas.,3,El artículo 28 de la Constitución española permite que la ley limite o exceptúe el derecho de sindicación a las fuerzas o institutos armados y a los cuerpos sometidos a disciplina militar.,Constitución Española
"Según el artículo 28 de la Constitución española, se reconoce a los trabajadores el derecho a la huelga para la defensa de sus intereses. La ley que regule el ejercicio de este derecho establecerá las garantías que hagan falta:",Por tal de asegurar el mantenimiento de los puestos de trabajo de aquellos que ejerzan este derecho.,Por tal de asegurar el mantenimiento de los servicios esenciales de la comunidad.,Por tal de asegurar la escucha activa de las demandas de la huelga por parte del Gobierno.,Por tal de asegurar la protección de los trabajadores que ejerzan este derecho.,2,El artículo 28 de la Constitución española establece que la ley que regule el derecho a la huelga debe garantizar el mantenimiento de los servicios esenciales de la comunidad.,Constitución Española
"Según el artículo 29 de la Constitución española, los miembros de las fuerzas o institutos armados o de los cuerpos sometidos a disciplina militar podrán ejercer el derecho de petición:",Sólo colectivamente.,Colectivamente y de acuerdo con aquello que dispone su legislación específica.,Colectiva o individualmente.,Sólo individualmente y de acuerdo con aquello que dispone su legislación específica.,2,El artículo 29 de la Constitución española establece que los miembros de las fuerzas o institutos armados pueden ejercer el derecho de petición colectivamente y de acuerdo con su legislación específica.,Constitución Española
"De acuerdo con el artículo 32 de la Constitución española, ¿cuál de los siguientes elementos sobre el matrimonio NO se especifica que regulará la ley?",La edad y la capacidad para contraerlo.,Los derechos y deberes de los cónyuges.,La separación de bienes.,Las causas de separación y disolución y sus efectos.,3,El artículo 32 de la Constitución española no menciona específicamente la separación de bienes como un elemento que la ley deba regular en relación con el matrimonio.,Constitución Española
"Según el artículo 33 de la Constitución española, nadie podrá ser privado de sus bienes ni de sus derechos sino:",Por razón de Estado.,Por causa declarada de interés general.,Por causa motivada en tiempo de guerra.,Por causa justificada de utilidad pública o de interés social.,4,El artículo 33 de la Constitución española establece que nadie puede ser privado de sus bienes o derechos excepto por causa justificada de utilidad pública o de interés social.,Constitución Española
"De acuerdo con el artículo 34 de la Constitución española, se reconoce el derecho de fundación para finalidades de:",De interés general.,De interés social.,De utilidad pública.,De interés privado.,1,El artículo 34 de la Constitución española reconoce el derecho de fundación para finalidades de interés general.,Constitución Española
"Según el artículo 35 de la Constitución española sobre el deber y el derecho a trabajar, ¿qué tipo de discriminación no puede ocurrir en ningún caso a la hora de obtener una remuneración suficiente para satisfacer las necesidades del trabajador y su familia?",Por razón de género.,Por razón de edad.,Por razón de sexo.,Las respuestas a) y b) son correctas.,3,El artículo 35 de la Constitución española prohíbe la discriminación por razón de sexo en la remuneración.,Constitución Española
"Según el artículo 36 de la Constitución española, la estructura interna y funcionamiento de los colegios profesionales habrán de ser:",Piramidales.,Meritocráticos.,Democráticos.,Jerárquicos.,3,El artículo 36 de la Constitución española establece que la estructura interna y funcionamiento de los colegios profesionales deben ser democráticos.,Constitución Española
"De acuerdo con el artículo 159 de la Constitución española, ¿cuántos miembros propone el Consejo General del Poder Judicial para formar el Tribunal Constitucional?",Dos,Tres,Cuatro,Cinco,1,El artículo 159 de la Constitución española establece que el Consejo General del Poder Judicial propone dos miembros para el Tribunal Constitucional.,Constitución Española
"De acuerdo con el artículo 38 de la Constitución española, se reconoce la libertad de empresa:",Dentro del marco de la economía general.,Dentro del marco de la economía de mercado.,Dentro del marco de la economía pública.,Dentro del marco de la economía privada.,2,El artículo 38 de la Constitución española reconoce la libertad de empresa dentro del marco de la economía de mercado.,Constitución Española
"De acuerdo con el artículo 159 de la Constitución española, ¿cuántos miembros propone el Senado para formar el Tribunal Constitucional?",Dos,Tres,Cuatro,Cinco,1,El artículo 159 de la Constitución española establece que el Senado propone dos miembros para el Tribunal Constitucional.,Constitución Española
¿Cuáles son los valores superiores de nuestro Ordenamiento Jurídico conforme al artículo 1 de la Constitución española?,"La libertad, la justicia, la igualdad y el pluralismo político.","La libertad, la justicia y la igualdad.",La democracia y el pluralismo político.,El principio de legalidad y la independencia judicial.,1,"El artículo 1 de la Constitución española establece que los valores superiores del ordenamiento jurídico son la libertad, la justicia, la igualdad y el pluralismo político.",Constitución Española
"Según el artículo 39 de la Constitución española, los padres han de prestar asistencia completa a los hijos:",Tenidos dentro del matrimonio y durante la minoría de edad.,Tenidos dentro o fuera del matrimonio y en los otros casos en que los tribunales les obliguen.,"Tenidos dentro o fuera del matrimonio, durante la minoría de edad y en los otros casos en que la ley les obligue.","Durante la minoría y mayoría de edad, siempre que sean dependientes económica y jurídicamente y en los otros casos en que la ley les obligue.",3,"El artículo 39 de la Constitución española establece que los padres deben prestar asistencia a los hijos tenidos dentro o fuera del matrimonio, durante la minoría de edad y en otros casos que la ley determine.",Constitución Española
"Según el artículo 53 de la Constitución española, ¿qué tipo de recurso ante el Tribunal Constitucional pueden interponer los ciudadanos para la tutela de todos los derechos y libertades reconocidos en la sección 1ª del capítulo II del título I?",Recurso de amparo.,Recurso de apelación.,Recurso de inconstitucionalidad.,Recurso contencioso-Administrativo.,1,El artículo 53 de la Constitución española establece que los ciudadanos pueden interponer un recurso de amparo ante el Tribunal Constitucional para la tutela de los derechos y libertades reconocidos en la sección 1ª del capítulo II del título I.,Constitución Española
"De acuerdo con el artículo 54 de la Constitución española, ¿qué institución es la encargada de defender los derechos comprendidos en el título I?",Los Tribunales de Justicia.,El Defensor del Pueblo.,El Ministerio Fiscal.,El Fiscal General del Estado.,2,El artículo 54 de la Constitución española establece que el Defensor del Pueblo es la institución encargada de defender los derechos comprendidos en el título I.,Constitución Española
"De acuerdo con el artículo 40 de la Constitución española, los poderes públicos velarán por la seguridad y la higiene en el trabajo y garantizarán el descanso necesario:",Mediante períodos de vacaciones mínimos.,Mediante jornadas laborales limitadas y la promoción de centros adecuados.,Mediante la buena distribución del volumen de trabajo y vacaciones periódicas.,"Mediante la limitación de la jornada laboral, las vacaciones periódicas retribuidas y la promoción de centros adecuados.",4,"El artículo 40 de la Constitución española establece que los poderes públicos garantizarán el descanso necesario mediante la limitación de la jornada laboral, las vacaciones periódicas retribuidas y la promoción de centros adecuados.",Constitución Española
"De conformidad con el artículo 1 de la Constitución de 1978, España se constituye:",En una soberanía constitucional.,En una soberanía nacional.,En un estado liberal de derecho.,En un estado social y democrático de derecho.,4,El artículo 1 de la Constitución española establece que España se constituye en un estado social y democrático de derecho.,Constitución Española
"Según el artículo 169 de la Constitución española, podrá iniciarse una reforma constitucional:",En cualquier momento sin limitación alguna.,Salvo en tiempo de guerra.,"Salvo vigencia de los estados de alarma, de excepción y de sitio.","Salvo en tiempo de guerra y de vigencia de los estados de alarma, de excepción y de sitio.",4,"El artículo 169 de la Constitución española establece que no se podrá iniciar una reforma constitucional en tiempo de guerra o durante la vigencia de los estados de alarma, excepción o sitio.",Constitución Española
"De acuerdo con el artículo 159 de la Constitución española, ¿cuántos miembros propone el Congreso de los Diputados para formar el Tribunal Constitucional?",Dos,Tres,Cuatro,Cinco,1,El artículo 159 de la Constitución española establece que el Congreso de los Diputados propone dos miembros para el Tribunal Constitucional.,Constitución Española
"Según el artículo 41 de la Constitución española, los poderes públicos mantendrán un régimen público de Seguridad Social para todos los ciudadanos que garantice la asistencia y las prestaciones sociales suficientes en las situaciones de necesidad, especialmente:",En caso de problemas de salud infantil.,En caso de accidentes laborales.,En caso de falta de trabajo.,En caso de dependencia por discapacidad.,4,"El artículo 41 de la Constitución española establece que los poderes públicos garantizarán prestaciones sociales suficientes, especialmente en caso de dependencia por discapacidad.",Constitución Española
"Según el artículo 159 de la Constitución española, los miembros del Tribunal Constitucional tendrán que ser nombrados:",Entre juristas de prestigio.,Entre juristas de competencia reconocida con más de quince años de ejercicio profesional.,Entre juristas de competencia reconocida con más de diez años de ejercicio profesional.,Entre juristas de competencia y experiencia reconocida en Tribunales.,2,El artículo 159 de la Constitución española establece que los miembros del Tribunal Constitucional deben ser juristas de competencia reconocida con más de quince años de ejercicio profesional.,Constitución Española
"Según el artículo 159 de la Constitución española, el Tribunal Constitucional se compone:",De diez miembros nombrados por el Congreso.,De doce miembros nombrados por el rey.,De ocho miembros nombrados por las Cortes Generales.,De nueve miembros nombrados por el Senado.,2,El artículo 159 de la Constitución española establece que el Tribunal Constitucional se compone de doce miembros nombrados por el rey.,Constitución Española
"De acuerdo con el título I de la Constitución española, los derechos y deberes fundamentales:",Son absolutos i irrenunciables.,Pueden ser limitados solo por ley orgánica.,Tienen su límite en el derecho de los demás y en otros bienes y derechos constitucionalmente protegidos.,Son personales e intransferibles.,3,El título I de la Constitución española establece que los derechos y deberes fundamentales tienen su límite en el derecho de los demás y en otros bienes y derechos constitucionalmente protegidos.,Constitución Española
"Según el artículo 159 de la Constitución española, el período de designación de los miembros del Tribunal Constitucional tendrá una duración:",De diez años.,De ocho años.,De doce años.,De nueve años.,4,El artículo 159 de la Constitución española establece que el período de designación de los miembros del Tribunal Constitucional es de nueve años.,Constitución Española
"Según el artículo 10 de la Constitución española, la dignidad de la persona, los derechos inviolables que le son inherentes, el libre desarrollo de la personalidad, el respeto a la ley y a los derechos de los demás son fundamento:",Del orden político.,De la paz social.,De la estabilidad nacional y la comunión social.,Las respuestas a) y b) son correctas.,4,El artículo 10 de la Constitución española establece que la dignidad de la persona y los derechos inviolables son fundamento del orden político y de la paz social.,Constitución Española
"Según el artículo 11 de la Constitución española, el Estado podrá concertar tratados de doble nacionalidad con:",Con los países iberoamericanos.,Con aquellos países que hayan tenido o tengan una vinculación particular con España.,Con aquellos países que hayan tenido una vinculación histórica o económica con España.,Las respuestas a) y b) son correctas.,4,El artículo 11 de la Constitución española establece que el Estado puede concertar tratados de doble nacionalidad con países iberoamericanos y con aquellos que tengan una vinculación particular con España.,Constitución Española
"Según el artículo 13 de la Constitución española, los extranjeros disfrutarán en España de las libertades públicas que garantiza el título I en los términos:",Que establezca la ley.,Que establezcan los tratados internacionales.,Que disponga el Gobierno español.,Que establezcan los tratados y la ley.,4,El artículo 13 de la Constitución española establece que los extranjeros disfrutan de las libertades públicas en los términos que establezcan los tratados internacionales y la ley.,Constitución Española
"De acuerdo con el artículo 11 de la Constitución española, un español de origen podrá ser privado de su nacionalidad en caso de:",En caso de cometer un delito flagrante.,En caso de terrorismo.,En caso de ser desterrado por traición a la nación española.,En ningún caso.,4,El artículo 11 de la Constitución española establece que un español de origen no puede ser privado de su nacionalidad en ningún caso.,Constitución Española
"Según el artículo 15 de la Constitución española, todo el mundo tiene derecho a la vida y, por lo tanto, la pena de muerte:",Queda abolida en todos los casos.,Está reservada sólo para los crímenes más graves según estipule el código penal.,"Queda abolida, salvo aquello que dispongan las leyes penales militares para tiempos de guerra.","Ha de ser aprobada por el Tribunal Supremo, únicamente para tiempos de guerra.",3,"El artículo 15 de la Constitución española establece que la pena de muerte queda abolida, salvo lo que dispongan las leyes penales militares para tiempos de guerra.",Constitución Española
"Los cargos públicos del Sistema judicial que no pueden, de acuerdo con el artículo 127 de la Constitución española, ejercer otros cargos públicos ni pertenecer a partidos políticos o a sindicatos mientras sigan en activo son:",Solo los jueces.,Los magistrados y los fiscales.,Los jueces y los magistrados.,"Los jueces, los magistrados y también los fiscales.",3,El artículo 127 de la Constitución española establece que los jueces y magistrados no pueden ejercer otros cargos públicos ni pertenecer a partidos políticos o sindicatos mientras estén en activo.,Constitución Española
"Según el artículo 62 de la Constitución española, ¿a quién corresponde convocar y disolver las Cortes Generales y convocar elecciones?",Al presidente del Gobierno.,Al presidente del Congreso de los Diputados.,Al rey.,Al Gobierno.,3,El artículo 62 de la Constitución española establece que corresponde al rey convocar y disolver las Cortes Generales y convocar elecciones.,Constitución Española
"Según el artículo 62 de la Constitución española, ¿a quién corresponde sancionar y promulgar las leyes?",Al rey.,Al Congreso de los Diputados.,Al Senado.,Al Gobierno.,1,El artículo 62 de la Constitución española establece que corresponde al rey sancionar y promulgar las leyes.,Constitución Española
"Según el artículo 63 de la Constitución española, ¿a quién corresponde acreditar a los embajadores y otros representantes diplomáticos?",Al ministro competente en materia de relaciones exteriores.,Al presidente del Congreso de los Diputados.,Al presidente del Gobierno.,Al rey.,4,El artículo 63 de la Constitución española establece que corresponde al rey acreditar a los embajadores y otros representantes diplomáticos.,Constitución Española
"Según el artículo 66 de la Constitución española, las Cortes Generales ejercen la potestad legislativa del Estado:",Y aprueban los presupuestos y controlan la acción del Gobierno.,Y elaboran los presupuestos y controlan la acción de los gobiernos autonómicos.,Y elaboran los presupuestos y controlan la acción del Gobierno.,Y aprueban los presupuestos y controlan la acción de los gobiernos autonómicos.,1,"El artículo 66 de la Constitución española establece que las Cortes Generales ejercen la potestad legislativa del Estado, aprueban los presupuestos y controlan la acción del Gobierno.",Constitución Española
"Según el artículo 117 de la Constitución española, ¿qué tipo de tribunales judiciales quedan prohibidos expresamente?",Los tribunales de honor.,Los tribunales militares.,Los tribunales de excepción.,Los jurados populares.,3,El artículo 117 de la Constitución española prohíbe expresamente los tribunales de excepción.,Constitución Española
"Según el artículo 117 de la Constitución española, ¿cuál es la base de la organización y del funcionamiento de los tribunales judiciales?",El principio de independencia.,El principio de unidad jurisdiccional.,El principio de objetividad.,El principio de libertad jurisdiccional.,2,El artículo 117 de la Constitución española establece que la base de la organización y del funcionamiento de los tribunales judiciales es el principio de unidad jurisdiccional.,Constitución Española
"Según el artículo 119 de la Constitución española, ¿es gratuita la justicia?","Sí, siempre.",Cuando lo disponga la ley.,"Sí, para aquellos que acrediten insuficiencia de recursos para litigar.",Las respuestas b) y c) son correctas.,4,El artículo 119 de la Constitución española establece que la justicia será gratuita cuando así lo disponga la ley y para quienes acrediten insuficiencia de recursos para litigar.,Constitución Española
"Según el artículo 120 de la Constitución española, los procedimientos judiciales serán predominantemente orales, ¿en qué materia especialmente?",Criminal.,Penal.,Mercantil.,Civil.,2,"El artículo 120 de la Constitución española establece que los procedimientos judiciales serán predominantemente orales, especialmente en materia penal.",Constitución Española
