"Los actos de las entidades locales que atenten gravemente el interés general de España pueden ser suspendidos, previo requerimiento de anulación al presidente de la entidad, con la adopción de las medidas adecuadas para la protección del interés general mencionado:", "Por el delegado del Gobierno de España en el ámbito de la comunidad autónoma correspondiente.", "Por el presidente de la comunidad autónoma correspondiente, en nombre del rey.", "Por el Tribunal Constitucional.", "Por el Senado, por mayoría absoluta.", "a", "Según la normativa española, el delegado del Gobierno de España en la comunidad autónoma correspondiente tiene la competencia para suspender actos de entidades locales que atenten gravemente contra el interés general de España."
"Los bienes destinados directamente al cumplimiento de fines públicos de responsabilidad de las entidades locales, son:","Bienes patrimoniales","Bienes de uso público","Bienes de servicio público","Bienes comunales","c","Los bienes de servicio público son aquellos destinados directamente al cumplimiento de fines públicos de responsabilidad de las entidades locales, conforme al artículo 3.1 del Reglamento de Bienes de las Entidades Locales."
"Los bienes comunales son:","Enajenables e imprescriptibles","Inalienables, inembargables y sujetos a prescripción","Inalienables, inembargables y sujetos a los tributos autonómicos y estatales.","Inalienables, inembargables, imprescriptibles","d","Los bienes comunales son inalienables, inembargables e imprescriptibles, según el artículo 3.2 del Reglamento de Bienes de las Entidades Locales."
"Las parcelas sobrantes y efectos no utilizables se clasifican como:","Bienes demaniales","Bienes de uso público","Bienes de servicio público","Bienes patrimoniales","d","Las parcelas sobrantes y efectos no utilizables se clasifican como bienes patrimoniales, conforme al artículo 3.3 del Reglamento de Bienes de las Entidades Locales."
"La alteración de la calificación jurídica de los bienes de las entidades locales requiere de un expediente en el que se acredite:","Su baja del inventario municipal","Su oportunidad y legalidad","Su inembargabilidad e imprescriptibilidad","Su disponibilidad y legalidad","b","La alteración de la calificación jurídica de los bienes requiere un expediente que acredite su oportunidad y legalidad, según el artículo 6 del Reglamento de Bienes de las Entidades Locales."
"El expediente de alteración jurídica de los bienes de las entidades locales debe ser resuelto","Por acuerdo adoptado por la correspondiente diputación provincial o consejo insular por mayoría absoluta del número legal de miembros de sus órganos de gobierno","Por la corporación local respectiva mediante acuerdo adoptado con el voto favorable de la mayoría absoluta del número legal de miembros de la misma","Por acuerdo del consejo de gobierno de la respectiva comunidad autónoma adoptado por mayoría simple de sus miembros","Dado el carácter imprescriptible de estos bienes no es posible su alteración jurídica","b","El expediente de alteración jurídica debe ser resuelto por la corporación local mediante acuerdo adoptado con el voto favorable de la mayoría absoluta del número legal de miembros, conforme al artículo 6 del Reglamento de Bienes de las Entidades Locales."
"La alteración de la calificación jurídica de los bienes se produce automáticamente sin necesidad de que se tramite un expediente de alteración","Aprobación inicial de los planes de ordenación urbana","Aprobación definitiva de los planes de ordenación urbana","Adscripción de bienes patrimoniales por más de veinte años a un uso o servicio público o comunal","Adscripción de bienes de dominio público por más de veinticinco años a un uso o servicio público","b","La alteración de la calificación jurídica se produce automáticamente con la aprobación definitiva de los planes de ordenación urbana, según el artículo 6 del Reglamento de Bienes de las Entidades Locales."
"¿Cuál de las siguientes afirmaciones es correcta?","Los acuerdos para el ejercicio de las acciones en defensa de los bienes de las entidades locales se adoptan directamente por el Alcalde de la respectiva corporación previo dictamen favorable del plenario municipal","Las entidades locales tienen capacidad jurídica limitada para adquirir bienes de diferente naturaleza","Las entidades locales tienen la obligación de ejercer las acciones necesarias para la defensa de sus bienes y derechos","Las entidades locales pueden ejercer las acciones necesarias para la defensa de sus bienes y derechos","c","Las entidades locales tienen la obligación de ejercer las acciones necesarias para la defensa de sus bienes y derechos, conforme al artículo 7 del Reglamento de Bienes de las Entidades Locales."
"Las Corporaciones locales pueden adquirir bienes y derechos, entre otros, por los siguientes medios","Por prescripción, por ocupación y por donación","Por prescripción previa tramitación de expediente que acredite su oportunidad","Por ocupación, precedida de justo título y buena fe","Por cualquiera de los medios previstos el reglamento orgánico de la corporación","a","Las Corporaciones locales pueden adquirir bienes y derechos por prescripción, ocupación y donación, entre otros medios, según el artículo 8 del Reglamento de Bienes de las Entidades Locales."
"La adquisición de bienes a título oneroso por parte de las Corporaciones locales","Las Corporaciones locales no pueden adquirir bienes y derechos a título oneroso aunque puedan hacerlo a título gratuito","Exige el cumplimiento de los requisitos exigidos en la normativa sobre expropiación forzosa","Exige el cumplimiento de los requisitos exigidos en la legislación urbanística y de expropiaciones","Exige el cumplimiento de los requisitos contemplados en la normativa de contratación de las entidades locales","d","La adquisición de bienes a título oneroso exige el cumplimiento de los requisitos contemplados en la normativa de contratación de las entidades locales, conforme al artículo 9 del Reglamento de Bienes de las Entidades Locales."
"La aceptación de herencias por las entidades locales","Se entenderá siempre con renuncia a los derechos de excusión y prelación","Se entenderá con renuncia al derecho de prelación","Se formalizará con renuncia al derecho de excusión","Se entenderá a beneficio de inventario","d","La aceptación de herencias por las entidades locales se entenderá a beneficio de inventario, según el artículo 10 del Reglamento de Bienes de las Entidades Locales."
"Entre las prerrogativas de que gozan las entidades locales respecto de sus bienes patrimoniales encontramos","La de recuperar por si mismas su posesión en cualquier momento","La de recuperar por si mismas su posesión en el plazo de un año","La de recuperar por si mismas su posesión en el plazo de tres años","La de recuperar por si mismas su posesión en el plazo de cinco años","a","Las entidades locales tienen la prerrogativa de recuperar por sí mismas su posesión en cualquier momento, conforme al artículo 11 del Reglamento de Bienes de las Entidades Locales."
"¿Cuál de entre las siguientes potestades no tienen las entidades locales respecto de sus bienes?","La potestad de investigación","La potestad de desahucio administrativo","La potestad expropiatoria","La potestad de deslinde","c","Las entidades locales no tienen la potestad expropiatoria respecto de sus bienes, según el artículo 12 del Reglamento de Bienes de las Entidades Locales."
"Conforme dispone el artículo 55 del Reglamento de Bienes de las EELL, el conocimiento de las cuestiones de naturaleza civil que se susciten con ocasión de la investigación de las entidades locales respecto de los bienes y derechos que se presuman de su propiedad","Corresponde a la jurisdicción ordinaria","Corresponde a los órganos de la respectiva comunidad autónoma competentes en la materia de que se trate","Corresponde al pleno de la Corporación, salvo que la materia esté delegada en las juntas de gobierno local","Corresponde, siempre y en todo caso, al Alcalde quien dará cuenta al pleno en la primera sesión que celebre","a","El conocimiento de las cuestiones de naturaleza civil corresponde a la jurisdicción ordinaria, conforme al artículo 55 del Reglamento de Bienes de las Entidades Locales."
"Los afectados por la resolución de un expediente de investigación tramitado por una entidad local podrán impugnarla","Ante la jurisdicción ordinaria, ya sea en la vía civil o contenciosa, quedando vedada la jurisdicción penal","En vía civil","En vía contencioso-administrativa","La impugnación no es posible, quedando a salvo la indemnización que en su caso corresponda a los afectados","c","Los afectados podrán impugnar la resolución en vía contencioso-administrativa, según el artículo 56 del Reglamento de Bienes de las Entidades Locales."
"En el ejercicio de la potestad de deslinde y una vez iniciado el procedimiento administrativo a tal efecto","Podrá plantearse conflicto de competencia ante la comunidad autónoma o consejo insular siempre que éste tenga atribuida la competencia en materia de defensa de bienes de las entidades locales","Podrá instarse procedimiento judicial contra el acuerdo de inicio del procedimiento administrativo que supondrá la paralización de éste entretanto no recaiga sentencia definitiva y firme","No podrá instarse procedimiento judicial con igual pretensión ni se admitirán interdictos sobre el estado posesorio de las fincas mientras no se lleve a cabo el deslinde","No podrá instarse procedimiento judicial con igual pretensión aunque se admitirán interdictos sobre el estado posesorio de las fincas mientras no se lleve a cabo el deslinde.","c","No podrá instarse procedimiento judicial con igual pretensión ni se admitirán interdictos sobre el estado posesorio de las fincas mientras no se lleve a cabo el deslinde, según el artículo 57 del Reglamento de Bienes de las Entidades Locales."
"El amojonamiento","Es un acto que tiene lugar una vez que el acuerdo de deslinde es firme, con intervención de los interesados","Es el acto que tiene lugar, previo al inicio del procedimiento de deslinde, para que los interesados fijen sus pretensiones","Es un acto que sólo tiene lugar en los procedimientos de desahucio administrativo","Es un acto que tiene lugar una vez que el acuerdo de deslinde es firme, sin intervención de los interesados dada la firmeza del acuerdo de deslinde","a","El amojonamiento tiene lugar una vez que el acuerdo de deslinde es firme, con intervención de los interesados, conforme al artículo 58 del Reglamento de Bienes de las Entidades Locales."
"¿Pueden las Corporaciones locales ejecutar en vía administrativa la investigación, el deslinde y reivindicación de los bienes situados fuera del término de su jurisdicción?","En ningún caso, dado que las entidades locales no pueden poseer bienes fuera del término de su jurisdicción","Sí, mediante exhorto a la entidad en cuyo territorio radicaren para que, por su mediación, se desarrollen los actos correspondientes.","No, salvo que medie acuerdo del Consejo de Gobierno de la respectiva comunidad autónoma","Sí, pero la tramitación del procedimiento en estos casos será competencia de la respectiva diputación provincial, cabildo o consejo a cuyo territorio pertenezca la entidad local","b","Las Corporaciones locales pueden ejecutar en vía administrativa la investigación, el deslinde y reivindicación de los bienes situados fuera de su jurisdicción mediante exhorto a la entidad en cuyo territorio radicaren, según el artículo 59 del Reglamento de Bienes de las Entidades Locales."
"En el caso de una demanda judicial que afectare al dominio y demás derechos reales del patrimonio de las entidades locales, éstas:","No podrán allanarse","Podrán allanarse aunque no desistir del procedimiento","Podrán allanarse y desistir del procedimiento siempre que el mismo no se halle visto para sentencia","Podrán allanarse y desistir del procedimiento cualquiera que sea el estado de tramitación del procedimiento","d","Las entidades locales pueden allanarse y desistir del procedimiento cualquiera que sea el estado de tramitación, conforme al artículo 60 del Reglamento de Bienes de las Entidades Locales."
"Las Corporaciones locales, en relación al inventario y registro de sus bienes:","Están obligadas a formar inventario de todos sus bienes y derechos, cualquiera que sea su naturaleza o forma de adquisición","Podrán formar inventario de todos sus bienes o derechos cualquiera que sea su naturaleza o forma de adquisición","Están obligadas a formar inventario de todos sus bienes y derechos salvo en el caso de adquisiciones de bienes a título lucrativo en que tendrá carácter potestativo","Están obligadas a formar inventario de todos sus bienes y derechos salvo en el caso de adquisiciones de bienes a título oneroso en que tendrá carácter potestativo","a","Las Corporaciones locales están obligadas a formar inventario de todos sus bienes y derechos, cualquiera que sea su naturaleza o forma de adquisición, según el artículo 18 del Reglamento de Bienes de las Entidades Locales."
"Los bienes y derechos pertenecientes a entidades con personalidad propia y dependientes de las Corporaciones locales:","Los bienes y derechos de dichas entidades se consideran de titularidad de la entidad local a la que pertenecen por lo que se incluirán en el inventario de la propia entidad local","Los bienes, derechos y acciones que les sean propio se incluirán en el inventario consolidado de la Corporación local a la que pertenezcan pero sin formar un inventario separado","Formarán inventarios separados de los bienes y derechos que les pertenezcan","Estas entidades, en la medida en que dependen de una Corporación local, no pueden poseer bienes ni derechos sino a través de la propia Corporación local a la que pertenecen","c","Los bienes y derechos de entidades con personalidad propia y dependientes de las Corporaciones locales formarán inventarios separados, conforme al artículo 18 del Reglamento de Bienes de las Entidades Locales."
"De conformidad con lo establecido en el artículo 19 del Reglamento de Bienes de las Entidades locales, la reseña de los bienes en el inventario se efectuará:","De acuerdo con lo que se establezca en el Reglamento Orgánico de Funcionamiento de la respectiva Corporación","Dependiendo del epígrafe en el que se incluyan, alfabéticamente o con numeración correlativa","Alfabéticamente dentro del respectivo epígrafe","Con numeración correlativa por cada uno de ellos dentro del respectivo epígrafe","d","El artículo 19 del Reglamento de Bienes de las Entidades Locales establece que la reseña de los bienes en el inventario se efectuará con numeración correlativa por cada uno de ellos dentro del respectivo epígrafe."
"El inventario de créditos y derechos personales de la Corporación expresará","Concepto y valor","Concepto, nombre del deudor, valor, título de adquisición y vencimiento, en su caso","Nombre del deudor, valor y vencimiento","Los créditos y derechos personales no se incluyen en el inventario de la Corporación","b","El inventario de créditos y derechos personales de la Corporación debe expresar el concepto, nombre del deudor, valor, título de adquisición y vencimiento, en su caso, según lo establecido en la normativa."
"Los bienes cedidos por la Corporación, condicionalmente o a plazo, así como las concesiones y los arrendamientos otorgados sobre bienes municipales, se reseñarán bajo el epígrafe de:","Derechos reales","Valores mobiliarios, créditos y derechos, de carácter personal de la Corporación","Bienes subsidiarios de carácter accesorio","Bienes y derechos revertibles","d","Los bienes cedidos por la Corporación, condicionalmente o a plazo, así como las concesiones y los arrendamientos otorgados sobre bienes municipales, se reseñarán bajo el epígrafe de bienes y derechos revertibles."
"Todos los documentos que refrendan los datos del inventario y, en especial, títulos de dominio, actas de deslinde y valoración, planos y fotografías:","Se archivarán junto con la demás documentación municipal","Se archivarán con separación de la demás documentación municipal","Se archivarán en el Registro de la Propiedad a cuya demarcación pertenezca la Corporación","Se archivarán en los respectivos Registros de la Propiedad y Registros de Bienes Muebles a cuya demarcación pertenezca la Corporación","b","Los documentos que refrendan los datos del inventario, como títulos de dominio, actas de deslinde y valoración, planos y fotografías, se archivarán con separación de la demás documentación municipal."
"Los inventarios de las Corporaciones locales son autorizados","Por el Presidente de la Corporación dando cuenta al Pleno corporativo","Por el Alcalde con el visto bueno del Secretario de la Corporación","Por el Secretario de la Corporación con el visto bueno del Presidente","Por el Secretario de la Corporación con el visto bueno del Interventor y Tesorero de la Corporación","d","Los inventarios de las Corporaciones locales son autorizados por el Secretario de la Corporación con el visto bueno del Interventor y Tesorero de la Corporación."
"Una copia del inventario debidamente autorizado, así como de sus rectificaciones, se remitirá","A la Administración del Estado","A la Administración de la Comunidad Autónoma","A la diputación provincial, los consejos o cabildos insulares","A la Administración del Estado y de la Comunidad Autónoma","c","Una copia del inventario debidamente autorizado, así como de sus rectificaciones, se remitirá a la diputación provincial, los consejos o cabildos insulares."
"La rectificación del inventario se verificará:","Anualmente","Cada tres años, salvo que el Presidente de la Corporación acuerde otro período que nunca podrá ser superior a los cinco años","Cada tres años","Dentro de los tres meses siguientes al comienzo de cada legislatura","d","La rectificación del inventario se verificará dentro de los tres meses siguientes al comienzo de cada legislatura."
"El órgano competente para acordar la aprobación del inventario ya formado, su rectificación y comprobación, será:","El Alcalde o Presidente de la Corporación","La Junta de Gobierno Local","El órgano de gobierno de la comunidad autónoma en la que radique la respectiva Corporación local","El Pleno de la Corporación local.","d","El órgano competente para acordar la aprobación del inventario ya formado, su rectificación y comprobación, será el Pleno de la Corporación local."
"Las Corporaciones locales, en relación a sus bienes inmuebles y derechos reales","Deberán inscribirlos en el Registro de la Propiedad de acuerdo con lo previsto en la legislación hipotecaria","Podrán inscribirlos en el Registro de la Propiedad de acuerdo con lo previsto en la legislación hipotecaria","Deberán inscribir el derecho de dominio en el Registro de la Propiedad pudiendo inscribir con carácter potestativo el resto de derechos reales de que sean titulares","No precisan de su inscripción en el Registro de la Propiedad por cuanto el inventario autorizado con el visto bueno del Secretario de la Corporación otorga a esta clase de bienes la protección prevista en la legislación hipotecaria","a","Las Corporaciones locales, en relación a sus bienes inmuebles y derechos reales, deberán inscribirlos en el Registro de la Propiedad de acuerdo con lo previsto en la legislación hipotecaria."
"Conforme el artículo 107.2 de la Ley de Bases del Régimen Local, las ordenanzas fiscales obligan en el territorio de la respectiva entidad local y se aplican conforme a los principios de:","Municipalidad y territorialidad","Residencia, municipalidad y territorialidad","Residencia efectiva y territorialidad","Residencia, municipalidad y territorialidad efectiva","b","Conforme el artículo 107.2 de la Ley de Bases del Régimen Local, las ordenanzas fiscales obligan en el territorio de la respectiva entidad local y se aplican conforme a los principios de residencia, municipalidad y territorialidad."
"Conforme el artículo 107.1 de la Ley de Bases de Régimen Local, en el caso de las entidades locales radicadas en Illes Balears, las ordenanzas fiscales reguladoras de sus tributos locales, salvo que en ellas se señale otra cosa, comienzan a aplicarse","Una vez publicadas en el Boletín Oficial del Estado o de la Comunidad Autónoma, indistintamente","Siempre y en todo caso, a partir del día 1 de enero siguiente al de la fecha de su publicación","En el momento de su publicación definitiva en el Boletín Oficial de la Comunidad Autónoma","En el momento de su publicación definitiva en el Boletín Oficial del Estado, previa su publicación en el Boletín Oficial de la Comunidad Autónoma","c","Conforme el artículo 107.1 de la Ley de Bases de Régimen Local, en el caso de las entidades locales radicadas en Illes Balears, las ordenanzas fiscales reguladoras de sus tributos locales, salvo que en ellas se señale otra cosa, comienzan a aplicarse en el momento de su publicación definitiva en el Boletín Oficial de la Comunidad Autónoma."
"De conformidad con el artículo 105 de la Ley de Bases del Régimen Local, las Haciendas Locales se nutren","De los tributos del Estado, y de los tributos de las Comunidades Autónomas","De los tributos propios, de los del Estado y de los de las Comunidades Autónomas","Además de los tributos propios y de las participaciones reconocidas en los del Estado y de las Comunidades Autónomas, de aquellos otros recursos que prevea la Ley","De las cantidades asignadas en los Presupuestos Generales del Estado para el cumplimiento de los fines que les son propios","c","De conformidad con el artículo 105 de la Ley de Bases del Régimen Local, las Haciendas Locales se nutren además de los tributos propios y de las participaciones reconocidas en los del Estado y de las Comunidades Autónomas, de aquellos otros recursos que prevea la Ley."
"De acuerdo con el artículo 106.1 de la Ley de Bases del Régimen Local, las entidades locales","Tendrán autonomía para exigir tributos de acuerdo con los que vengan establecidos en la legislación del Estado y de las Comunidades Autónomas en materia de haciendas locales.","Tendrán autonomía para establecer y exigir tributos de acuerdo en la legislación del Estado reguladora de las Haciendas Locales y en las leyes que dicten las Comunidades Autónomas en los supuestos expresamente previstos en aquélla","Tendrán potestad para liquidar y gestionar los tributos cuyas facultades de liquidación y gestión les vengan atribuidas por la legislación del Estado y de las Comunidades Autónomas en los supuestos expresamente previstos en aquélla","Podrán tener autonomía para establecer y exigir tributos de conformidad con lo que expresamente se prevea en la legislación del Estado, de las Comunidades Autónomas y la emanada en ejercicio de su potestad reglamentaria.","b","De acuerdo con el artículo 106.1 de la Ley de Bases del Régimen Local, las entidades locales tendrán autonomía para establecer y exigir tributos de acuerdo en la legislación del Estado reguladora de las Haciendas Locales y en las leyes que dicten las Comunidades Autónomas en los supuestos expresamente previstos en aquélla."
"De acuerdo con el artículo 106.2 de la Ley de Bases del Régimen Local, la potestad reglamentaria de las entidades locales en materia tributaria","Se ejercerá a través de las disposiciones generales en materia tributaria emanadas de sus órganos de gobierno","Se ejercerá de conformidad con lo dispuesto en las leyes del Estado y de las Comunidades Autónomas en los supuestos y en las condiciones que expresamente se definan","Se ejercerá a través de ordenanzas fiscales reguladoras de sus tributos propios y de ordenanzas generales de gestión, recaudación e inspección","Corresponde al Pleno de la Corporación y se ejercerá mediante acuerdos generales adoptados por la mayoría absoluta de sus miembros","c","De acuerdo con el artículo 106.2 de la Ley de Bases del Régimen Local, la potestad reglamentaria de las entidades locales en materia tributaria se ejercerá a través de ordenanzas fiscales reguladoras de sus tributos propios y de ordenanzas generales de gestión, recaudación e inspección."
